Sku,Ltv Sales Adjusted Margin Dollars,Ltv Purchases Cnt,Total Amt,Ltv Sales,Ltv Return Cnt,Ltv Margin Dollars
1,60.616,1,599.99,599.99,0,24.99
4,"3,317.55",56,749.96,"15,392.86",4,"1,586.92"
2,235.973,2,369.98,655.96,0,216.39
20,338.741,3,441.74,630.69,0,330.44
3,0,2,29.99,49.99,0,49.99
1,4.513,1,32.99,32.99,0,4.47
4,271.239,2,414.96,"1,013.40",0,239.78
2,17.89,1,40.98,40.98,0,17.89
10,"2,855.71",27,"1,995.90","22,378.84",13,"2,104.20"
4,107.822,1,564.96,564.96,0,80.82
1,64.998,1,79.99,79.99,0,64.49
5,237.278,4,160.95,329.46,2,199.96
1,179.308,5,24.99,374.93,0,120.07
4,118.573,1,441.96,441.96,0,81.05
2,250.86,4,225.97,"1,101.90",1,84.76
3,36.464,1,201.66,201.66,0,35.12
24,100.261,1,324.77,324.77,1,91.45
2,165.919,1,654.98,654.98,0,103.49
4,-23.02,1,839.96,839.96,0,-29.62
1,279.204,3,39.99,"2,167.89",0,210.07
1,0.73,1,84.99,84.99,0,0.73
1,-7.471,3,359.99,789.97,0,-29.04
4,0,1,99.99,99.99,0,99.99
3,65.406,1,73.97,73.97,0,63.43
3,"1,086.03",4,979.97,"4,192.81",1,913.95
2,151.846,3,219.98,439.96,2,84.02
2,37.22,2,3.98,343.94,0,37.22
1,66.643,4,24.99,414.92,0,27.84
1,15.992,1,19.99,19.99,0,11.64
4,33.152,2,36.96,61.07,0,30.78
2,83.42,1,189.98,189.98,0,83.42
2,935.081,15,974.94,"4,979.25",2,653.28
2,14.9,1,23.98,23.98,0,14.57
8,380.879,1,"1,589.92","1,589.92",0,310.59
4,221.003,3,410.96,901.92,2,167.14
4,-52.773,2,631.9,691.86,1,-230.74
1,11.99,1,24.99,24.99,0,11.99
1,"1,952.61",83,54.99,"13,262.69",23,926.92
2,-15.56,1,377.95,377.95,0,-15.56
3,"1,276.92",22,110.97,"6,624.60",2,506.17
4,"5,709.89",29,"1,099.88","15,606.86",2,"4,008.85"
1,19.268,1,37.99,37.99,0,18.32
1,32.011,1,149.99,149.99,0,-19.45
4,104.372,1,"1,060.96","1,060.96",0,-131.46
4,136.549,3,181.96,251.94,1,93.24
6,0,1,69.99,69.99,0,-78.77
1,151.029,1,599.99,599.99,0,88.6
1,108.198,1,749.99,749.99,0,8.47
8,-1.646,1,148.35,148.35,0,-4.77
2,"10,643.61",255,399.98,"36,973.05",18,"7,331.94"
1,114.23,2,479.99,488.98,0,114.23
3,0,1,99.99,99.99,0,99.99
2,46.12,1,459.98,459.98,0,46.12
1,27.37,2,12.99,42.98,0,27.01
1,51.977,1,599.99,599.99,0,-39.85
1,49.357,3,8.99,266.97,1,46.25
2,488.336,11,67.96,"2,203.59",0,411.6
1,30.128,2,51.99,103.98,0,28.11
2,-26.827,4,359.98,"1,694.92",1,-207.66
3,0,1,119.98,119.98,0,78.01
1,349.618,8,29.99,"1,080.65",0,122.49
1,339.535,3,54.99,"1,144.92",0,224.39
5,216.586,1,929.95,929.95,0,160.62
2,221.633,18,609.98,"2,638.76",2,7.39
9,"1,857.45",6,"1,369.92","9,042.88",1,"1,415.31"
1,82.602,8,349.99,852.77,2,-22.08
6,290.884,16,179.94,"3,610.21",1,-21.08
4,"8,532.43",93,359.96,"42,091.92",13,"5,035.17"
3,0,1,80.52,80.52,0,30.6
1,31.214,1,89.99,89.99,0,27.16
2,14.318,1,76.98,76.98,0,11.36
4,516.85,4,78.96,"1,828.92",0,413.49
3,366.38,5,539.97,"1,932.88",1,-37.02
1,20.452,1,29.99,29.99,0,14.99
3,355.324,8,24.97,"1,048.71",1,295.79
4,61.311,1,219.16,219.16,0,53.28
1,-7.61,1,359.99,359.99,0,-7.61
12,"4,606.25",72,368.88,"39,429.56",14,308.17
1,19.236,1,19.99,19.99,0,18.91
1,0,1,0,0,0,0
1,23.62,1,25.98,25.98,0,23.62
2,123.7,2,749.98,"1,562.95",0,7.32
6,150.693,1,660.65,660.65,0,145.01
4,3.905,1,87.98,87.98,0,73.87
2,152.985,3,529.98,"1,054.94",1,67.36
3,31.834,1,90.97,90.97,0,27.37
3,218.307,9,79.97,547.84,6,197.8
4,38.949,1,76.9,76.9,1,37.42
2,145.117,3,14.98,844.93,0,52.53
3,0,1,99.99,99.99,0,99.99
2,1.62,1,3.38,3.38,0,1.62
2,10.93,1,34.98,34.98,0,10.93
5,13.825,2,114.97,124.96,1,92.09
1,44.613,1,118.99,118.99,0,39.37
2,101.835,3,672.98,"1,308.94",2,-111.17
1,125.752,3,529.99,796.95,0,61.3
1,158.575,2,69.99,667.95,1,145.82
1,189.925,3,11.99,663.91,0,174.17
12,213.504,2,458.87,458.87,1,190.37
5,342.992,1,"1,719.95","1,719.95",0,288.65
2,124.684,3,414.98,584.96,2,48.32
2,-17.812,1,99.98,99.98,0,-21.79
3,77.221,1,454.97,454.97,0,66.92
2,366.006,2,799.98,"2,387.37",0,46.93
8,362.523,3,643.82,"1,848.03",0,280.72
2,"3,114.81",11,"2,199.89","38,060.72",4,-225.62
14,120.21,10,105.86,"2,670.56",1,0.03
3,267.827,13,14.97,"1,345.65",1,175.76
4,265.003,4,433.96,633.86,0,187.49
5,220.082,2,"1,229.95","1,419.94",1,198.35
2,43.587,2,24.98,124.96,0,41.97
11,223.614,4,460.89,781.2,1,47.91
2,-12.502,1,624.98,624.98,0,-15.62
3,63.368,2,96.97,150.94,0,61.8
3,45.747,1,119.97,119.97,0,-21.03
1,361.3,2,599.99,"2,449.97",0,320.38
1,8.67,1,34.99,34.99,0,8.67
4,"5,524.13",37,"1,429.96","28,564.90",7,336.91
6,240.238,2,521.9,661.89,1,198.97
8,496.443,2,966.02,"1,236",1,393.72
2,42.106,1,155.48,155.48,0,30.15
2,28.49,1,99.98,99.98,0,28.49
8,320.902,2,"1,719.92","1,731.91",0,119.89
4,-15.62,1,"1,219.96","1,219.96",0,-33.5
1,93.642,3,89.99,899.96,2,71.14
4,139.301,1,696.96,696.96,0,98.31
1,"1,024.42",10,29.99,"3,182.91",1,885.46
1,67.988,2,124.99,278.96,0,61.33
4,54.371,1,227.96,227.96,0,-3.89
7,209.174,1,851.14,851.14,0,65.05
7,"11,218.76",51,"4,504.89","72,068.50",1,"4,955.01"
6,6.39,1,190.97,190.97,0,122.09
3,0,1,69.99,69.99,0,69.99
3,58.877,1,689.96,689.96,0,14.89
2,48.243,1,169.98,169.98,0,38.31
1,54.522,2,29.99,95.96,0,45.66
3,0,1,29.99,29.99,0,29.99
2,17.007,2,18.98,39.95,0,15.24
2,92.81,1,449.98,449.98,0,92.81
5,0,1,159.98,159.98,0,145.22
6,49.749,1,124.94,124.94,0,40.58
5,342.306,1,"2,075.94","2,075.94",0,156.18
26,719.324,3,"2,728.22","2,822.20",1,597.01
5,71.261,1,775.92,775.92,0,2.79
4,132.862,5,340.95,404.47,1,99.8
1,174.251,1,329.89,329.89,0,145.09
2,185.2,1,364.8,364.8,0,185.2
2,94.956,1,426.97,426.97,0,67.47
5,92.493,1,147.95,147.95,0,68.95
4,2.82,1,109.98,109.98,0,52.81
6,-28.574,3,"1,439.91","2,291.87",0,-59
6,292.342,2,"1,049.85","1,555.81",0,140.38
1,1.29,1,299.99,299.99,0,1.29
3,465.072,11,31.97,"2,777.38",3,262.25
1,29.99,1,139.99,139.99,0,29.99
2,-14.272,1,219.98,219.98,0,-15.27
3,100.128,1,459.97,459.97,0,57.31
2,608.545,3,424.98,"2,424.88",0,506.85
2,140.477,8,36.98,449.37,4,110.1
1,40.36,1,83.99,83.99,0,40.36
7,286.862,7,252.96,"1,427.48",0,836
2,23.459,1,324.98,324.98,0,21.99
1,571.36,8,59.99,"2,178.62",0,343.25
1,74.003,4,79.99,234.45,0,41.98
4,55.307,1,789.96,789.96,0,49.82
1,138.978,7,99.99,968.77,0,101.53
1,7.536,1,9.99,9.99,0,7.24
9,99.616,1,674,674,0,67.42
2,45.916,1,195.98,195.98,0,39.68
6,144,1,239.4,239.4,0,144
4,49.693,1,93.46,93.46,0,31.65
3,20.883,1,125.97,125.97,0,16.44
2,"6,468.19",131,9.98,"30,094.47",6,"3,770.15"
31,"1,286.87",2,"7,499.69","9,999.62",7,"1,146.02"
13,"3,745.59",53,184.37,"12,698.72",1,"2,628.55"
2,807.616,2,179.98,"2,789.89",0,768.18
14,442.649,2,"1,268.86","2,208.80",0,274.05
1,23.888,1,179.99,179.99,0,8.99
1,22.72,1,49.99,49.99,0,14.99
1,87.482,1,699.99,699.99,0,82.51
1,131.85,2,499.98,749.97,1,131.85
4,0,1,69.99,69.99,0,69.99
1,40.32,1,189.99,189.99,0,4.59
10,"4,119.62",20,"4,241.83","40,062.28",0,"3,956.83"
3,470.071,4,582.97,"3,502.90",0,-40
4,"11,904.25",130,359.96,"75,492.42",10,"7,382.21"
2,18.673,1,178.98,178.98,0,16.01
4,192.2,1,"1,419.96","1,419.96",0,192.2
2,0,1,0,0,0,0
4,0,1,69.99,69.99,0,69.99
3,21.104,1,55.97,55.97,0,21.08
2,-16.372,1,299.98,299.98,0,-26.9
7,125.535,1,"1,182.93","1,182.93",0,70.85
1,8.572,3,449.99,544.96,0,77.71
1,283.75,3,379.99,"2,329.92",0,200.53
4,80.844,3,112.96,292.94,0,68.2
8,115.561,4,136.92,"2,121.72",1,-102.04
3,70.835,2,374.97,576.92,0,12.78
1,21.744,2,749.99,"1,289.95",0,-30.06
7,778.859,8,526.93,"4,086.73",1,291.2
1,73.048,2,29.99,"1,573.89",0,47.22
6,57.53,1,432,432,0,-53.2
1,29.57,1,56.99,56.99,1,29.57
27,"4,572.83",41,202.73,"25,817.24",4,"1,857.37"
1,90.348,1,399.99,399.99,0,80
5,597.045,4,743.88,"1,750.77",1,534.49
8,916.978,12,182.92,"2,505.25",2,627.66
13,100.231,1,"1,389.87","1,389.87",0,-1.01
2,14.094,1,139.98,139.98,0,3.98
3,134.348,1,984.97,984.97,0,85.12
2,-13.166,1,599.98,599.98,0,-58.9
1,-22.651,2,449.99,"1,219.97",0,-27.79
4,138.239,4,216.96,"1,726.88",0,-296.64
2,34.44,1,194.87,194.87,0,32.48
6,156.421,1,"1,543.44","1,543.44",0,129.76
2,20.924,1,99.98,99.98,0,16.45
1,44.99,1,349.99,349.99,0,44.99
1,-12.856,2,979.99,"1,279.98",0,-139.22
4,7.52,1,61.97,61.97,0,31.79
3,31.437,2,79.98,332.94,0,229.68
3,15.217,1,46.17,46.17,0,12.86
7,269.61,4,"1,148.23","1,905.77",0,185.74
3,685.371,2,"1,139.97","1,519.96",1,-0.06
1,21.226,1,329.99,329.99,0,-14.4
1,463.515,2,34.99,"1,723.94",1,327.35
3,233.696,2,629.97,"1,613.89",0,130.13
15,"1,915.96",6,"2,264.87","5,899.74",4,"1,153.27"
10,173.685,1,669.9,669.9,0,161.95
4,162.234,1,"1,790.96","1,790.96",0,101.56
1,133.398,2,929.99,"1,359.98",0,3.96
3,193.716,5,579.97,"1,112.27",1,201.03
1,52.362,1,239.97,239.97,0,-7.23
1,41.789,1,549.99,549.99,1,11.35
3,26.987,1,84.97,84.97,0,26.13
4,29.734,1,66.45,66.45,1,25
2,545.91,3,769.98,"2,753.86",1,469.1
2,3.3,1,15.88,15.88,0,3.3
2,310.726,3,619.98,969.94,1,199.59
2,-255.78,3,"2,109.91","2,234.85",1,-297.99
5,78.716,1,395.95,395.95,0,76.79
11,17.559,1,695.89,695.89,0,-19.72
1,46.613,1,89.99,89.99,0,46
1,340.855,4,89.99,"1,430.38",0,297.6
2,287.722,2,549.98,"1,099.96",1,233.8
1,19.303,1,69.99,69.99,1,8.49
3,96.117,3,54.97,355.96,1,50.91
1,305.759,9,259.99,"1,029.78",4,232.14
5,167.399,1,"1,034.95","1,034.95",0,113.23
12,129.727,1,325.83,325.83,0,81.52
3,77.269,1,101.97,101.97,0,68.38
5,140.112,4,274.95,803.79,1,133.84
1,23.172,1,44.97,44.97,0,17.97
2,64.247,1,534.95,534.95,0,-41.93
1,32.624,1,129.99,129.99,0,-39.06
1,10.117,2,339.96,496.93,0,0.02
1,28.94,1,139.99,139.99,1,28.94
2,16.224,1,34.98,34.98,0,14.94
1,"2,328.50",33,599.99,"27,563.79",4,607.42
7,379.562,6,730.93,"1,548.15",0,161.48
1,66.348,2,79.99,209.97,0,64.18
3,"1,317.14",34,206.97,"14,767.16",9,-819.46
7,489.448,5,331.62,"2,115.07",1,247.95
2,41.916,1,76.98,76.98,0,29.96
4,729.995,12,49.79,"1,473.49",1,563.23
4,39.23,1,85.96,85.96,0,34.41
1,142.849,2,59.99,569.97,1,-31.44
1,80.114,2,19.99,119.98,0,76.49
3,290.128,7,115.91,582.78,0,204.21
1,7.167,1,7.99,7.99,0,6.8
3,"5,799.89",241,96.97,"23,616.19",49,"2,197.73"
2,227.038,1,"1,699.98","1,699.98",0,149.98
2,35.92,1,69.94,69.94,0,35.92
1,158.32,2,24.99,212.43,1,156.55
11,"1,573.55",23,380.86,"5,511.54",3,659.72
2,103.72,1,559.98,559.98,0,62.8
8,145.648,1,143.92,143.92,0,108.72
4,94.017,1,272.96,272.96,0,91.79
3,45.145,1,151.96,151.96,0,46.34
2,13.297,1,117.98,117.98,0,-7.65
1,27.313,1,59.99,59.99,0,26
3,-21.03,1,"1,079.97","1,079.97",0,-21.03
24,36.554,1,"2,911.50","2,911.50",0,-590.74
2,86.04,2,86.67,346.66,0,83.58
8,305.381,1,"1,483.92","1,483.92",0,117.99
3,279.783,1,"2,009.93","2,009.93",0,-60.96
5,367.661,2,"1,469.97","2,999.94",1,146.69
3,0,1,69.99,69.99,0,69.99
1,59.655,2,36.96,486.95,1,43.07
1,108.944,1,"1,399.96","1,399.96",0,-83.24
15,"2,801.13",7,"1,413.85","11,548.49",2,"2,054.50"
2,230.111,16,325.97,"2,672.26",0,-60.24
4,281.639,2,"1,499.94","1,499.94",1,-30.24
13,89.96,1,269.95,269.95,0,72.92
13,402.222,2,951.74,"1,445.54",1,231.69
2,12.615,1,479.98,479.98,0,7.06
4,21.085,1,39.96,39.96,0,21.02
6,488.27,5,842.93,"2,338.82",2,254.89
10,113.327,1,340.9,340.9,0,89.26
8,356.387,2,"2,864.93","2,964.92",0,312.74
2,152.477,1,899.98,899.98,0,35.01
4,203.781,1,654.96,654.96,0,135.15
6,403.486,1,"1,699.94","1,699.94",0,278.64
1,41.889,3,57.98,315.93,1,155.48
19,"3,837.70",48,860.01,"11,078.34",5,"3,029.27"
4,36.478,1,198.96,198.96,0,8.41
1,122.3,4,44.99,384.93,0,76.12
2,"3,218.28",64,169.98,"16,437.46",16,"2,051.55"
5,116.274,2,998.7,"1,098.69",1,40.11
2,579.853,8,14.98,"3,332.79",3,409.18
2,159.384,6,359.98,688.85,0,130.2
11,"1,362.84",6,"3,362.26","6,157.09",1,980.53
2,0,1,0,0,0,0
1,57.324,1,279.99,279.99,0,3.29
1,9.27,1,19.99,19.99,0,9.27
2,367.337,8,47.97,"1,553.05",0,107.26
2,0,1,0,0,0,0
2,0,1,0,0,0,0
4,85.956,1,399.96,399.96,0,81.96
1,-41.269,11,329.99,"4,210.83",1,-141.93
3,421.934,4,969.97,"3,814.89",0,350.05
2,188.994,2,27.41,683.31,0,152.49
3,"7,395.56",92,254.97,"43,136.16",44,"2,656.81"
3,137.033,3,89.88,199.82,1,125.51
7,14.414,1,269.93,269.93,0,127.04
2,227.403,4,184.98,793.86,1,142.72
6,178.353,1,899.94,899.94,1,144.9
4,112.225,7,722.96,"2,382.08",1,22.63
1,-4.928,1,89.99,89.99,0,-12.97
3,0,1,0,0,0,0
1,100.472,1,329.99,329.99,0,54.34
1,24.369,1,59.99,59.99,0,18
1,-0.82,1,379.99,379.99,0,-0.82
3,0,2,20.32,30.32,0,10.5
2,64.501,1,574.98,574.98,0,51.64
1,10.471,1,19.99,19.99,0,9.09
2,441.445,4,32.98,"1,667.89",0,377.88
11,0,1,259.99,259.99,0,243.08
7,76.014,2,97.92,487.9,0,70.18
2,100.979,2,389.98,415.96,0,23.54
3,336.383,15,209.97,"2,009.61",2,139.93
5,-48.799,1,"1,214.92","1,214.92",1,-61.69
4,22.24,2,89.98,329.95,0,242.2
2,278.143,2,"1,089.98","1,169.97",0,-3.79
2,12.359,1,19.95,19.95,0,8.2
4,206.333,1,"1,349.98","1,349.98",0,-93.01
3,22.02,1,99.98,99.98,0,47.98
1,31.99,1,349.99,349.99,0,-20.81
1,730.715,10,24.99,"5,930.07",0,133.66
6,"2,419.52",74,110.94,"20,846.63",10,123.71
1,4.757,1,9.99,9.99,0,2.04
1,221.784,7,279.99,"1,124.85",3,111.69
2,23.266,1,69.98,69.98,1,17.02
3,45.239,1,153.97,153.97,0,36.94
1,44.745,1,449.99,449.99,0,-3.12
2,31.063,1,89.96,89.96,0,31.06
4,62.464,1,234.98,234.98,0,122.58
1,93.045,2,279.99,734.96,0,31.85
6,"1,308.47",26,478.94,"10,353.55",4,639.57
3,498.01,3,809.97,"2,685.94",0,256.32
1,273.662,12,349.99,"1,177.12",5,-62.03
1,34.941,1,479.99,479.99,0,-10.75
1,33.294,2,29.99,59.98,1,26.38
9,338.637,11,102.06,"1,081.64",0,228.29
1,454.178,2,349.99,"2,369.95",0,-21.63
2,73.866,1,120.98,120.98,0,71.96
5,131.175,2,137.94,582.91,0,118.69
1,53.247,2,99.99,119.98,0,46.7
5,-18.006,1,586.95,586.95,0,-26.49
2,78.096,1,169.98,169.98,0,66.1
3,"2,828.46",16,667.97,"9,490.14",10,"2,622.26"
4,59.017,1,273.96,273.96,0,-23.35
1,"9,359.06",238,29.99,"45,455.48",65,"3,121.68"
2,346.453,4,649.95,"1,907.79",1,44.33
4,"9,916.78",84,593.88,"152,516.85",19,"-2,381.90"
2,16.1,1,39.98,39.98,0,16.1
3,8.65,2,24.47,30.46,0,7.7
4,319.485,4,568.96,"1,127.30",1,142.8
4,15.82,1,76.93,76.93,0,15.82
2,429.333,1,569.98,569.98,0,89.71
3,141.41,1,704.97,704.97,0,100.49
6,314.552,5,669.94,"2,074.86",0,98.32
7,47.134,1,193.86,193.86,0,25.22
2,64.689,1,503.98,503.98,0,23.08
